87,小白菜,food3,,炒小白菜.jpg,100,13,,0.3,1,2.1,240,40,106,15,37,1.4,0.3,1271125075,1271125075
89,干絲,food3,,炒干絲.jpg,100,169,,8.6,18.3,4.8,45,549,287,41,277,6.2,2.4,1271125075,1271125075
91,冬瓜,food3,,炒冬瓜菜.jpg,100,13,,0.2,0.5,2.6,120,5,6,8,25,0.2,0.1,1271125075,1271125075
93,玉米粒,food3,,炒玉米粒.jpg,100,93,,0.6,2.1,19.8,190,231,2,15,57,0.5,0.4,1271125075,1271125075
95,胡蘿蔔,food3,,炒豆芽菜.jpg,10,3.8,,0.05,0.11,0.78,29,7.9,3,1.6,5.2,0.04,0.03,1271125075,1271125075
96,黃豆芽,food3,,,90,33.3,,0.63,6.39,2.97,49.5,5.4,26.1,18,56.7,0.72,0.45,1271125075,1271125075
98,空心菜,food3,,炒空心菜.jpg,100,24,,0.4,1.4,4.3,440,52,78,21,37,1.5,0.7,1271125075,1271125075
100,甜椒,food3,,炒青椒.jpg,90,22.5,,0.18,0.72,4.95,117,9.9,9.9,9.9,23.4,0.36,0.18,1271125075,1271125075
103,南瓜,food3,,炒南瓜.jpg,100,64,,0.2,2.4,14.2,320,1,9,14,42,0.4,0.4,1271125075,1271125075
105,高麗菜,food3,,炒高麗菜.jpg,100,23,,0.3,1.2,4.4,150,17,52,11,28,0.3,0.2,1271125075,1271125075
107,海帶,food3,,炒海帶絲.jpg,100,16,,0.2,0.7,3.3,11,606,87,14,8,0.2,0.1,1271125075,1271125075
109,菠菜,food3,,炒菠菜.jpg,100,22,,0.5,2.1,3,460,54,77,58,45,2.1,0.6,1271125075,1271125075
111,鵝菜心,food3,,炒鵝菜心.jpg,100,16,,0.2,1,3.1,310,22,16,16,18,0.3,0.2,1271125075,1271125075
113,空心菜,food3,,空心菜與魚板.jpg,80,19.2,,0.32,1.12,3.44,352,41.6,62.4,16.8,29.6,1.2,0.56,1271125075,1271125075
